sku,tipo_produto,data,prazo_entrega,tempo_entrega,nivel_estoque,qtd_vendida,preco_unitario,receita,otd_flag
SKU0045,Suturas,2020-02-15,1.0,2.4,177,44,50,2200,0
SKU0046,Endoscópios,2020-02-16,2.9,1.8,188,52,5000,260000,1
SKU0047,OPME,2020-02-17,1.0,2.7,212,60,12000,720000,0
SKU0048,Endoscópios,2020-02-18,4.6,6.8,215,54,5000,270000,0
SKU0049,Medicamentos,2020-02-19,1.6,1.8,204,29,80,2320,0
SKU0050,Medicamentos,2020-02-20,1.3,1.4,193,20,80,1600,0
SKU0051,Medicamentos,2020-02-21,1.0,1.4,198,34,80,2720,0
SKU0052,Medicamentos,2020-02-22,1.2,1.0,227,29,80,2320,1
SKU0053,OPME,2020-02-23,1.0,1.0,184,44,12000,528000,1
SKU0054,Cosméticos Médicos,2020-02-24,2.1,1.0,230,53,150,7950,1
SKU0055,Suturas,2020-02-25,2.8,5.3,185,20,50,1000,0
SKU0056,Medicamentos,2020-02-26,1.0,1.0,203,54,80,4320,1
SKU0057,Endoscópios,2020-02-27,1.0,1.3,207,30,5000,150000,0
SKU0058,Medicamentos,2020-02-28,1.0,1.0,191,35,80,2800,1
SKU0059,Endoscópios,2020-02-29,1.9,1.7,192,44,5000,220000,1
SKU0060,Endoscópios,2020-03-01,1.0,1.0,216,40,5000,200000,1
SKU0061,Medicamentos,2020-03-02,1.0,1.0,191,35,80,2800,1
SKU0062,OPME,2020-03-03,1.3,3.0,184,20,12000,240000,0
SKU0063,Endoscópios,2020-03-04,4.8,1.6,219,39,5000,195000,1
SKU0064,Endoscópios,2020-03-05,1.1,3.1,180,45,5000,225000,0
SKU0065,Medicamentos,2020-03-06,2.3,2.8,206,58,80,4640,0
SKU0066,Endoscópios,2020-03-07,1.2,1.0,197,35,5000,175000,1
SKU0067,Endoscópios,2020-03-08,1.0,1.0,210,38,5000,190000,1
SKU0068,Medicamentos,2020-03-09,2.4,4.9,194,46,80,3680,0
SKU0069,Medicamentos,2020-03-10,1.0,1.0,200,57,80,4560,1
SKU0070,Suturas,2020-03-11,1.8,1.0,210,32,50,1600,1
SKU0071,OPME,2020-03-12,1.2,2.5,228,42,12000,504000,0
SKU0072,OPME,2020-03-13,1.0,1.0,217,56,12000,672000,1
SKU0073,Endoscópios,2020-03-14,2.6,1.4,215,47,5000,235000,1
SKU0074,OPME,2020-03-15,1.0,1.0,196,23,12000,276000,1
SKU0075,Endoscópios,2020-03-16,1.0,1.0,199,44,5000,220000,1
SKU0076,Suturas,2020-03-17,2.2,4.7,237,32,50,1600,0
SKU0077,Medicamentos,2020-03-18,1.0,1.2,178,35,80,2800,0
SKU0078,Medicamentos,2020-03-19,1.0,1.8,170,34,80,2720,0
SKU0079,Medicamentos,2020-03-20,1.0,1.5,187,51,80,4080,0
SKU0080,OPME,2020-03-21,2.3,4.3,197,37,12000,444000,0
SKU0081,Suturas,2020-03-22,2.1,3.0,210,32,50,1600,0
SKU0082,OPME,2020-03-23,1.0,1.0,193,28,12000,336000,1
SKU0083,OPME,2020-03-24,1.9,2.0,212,58,12000,696000,0
SKU0084,Suturas,2020-03-25,3.5,8.0,199,26,50,1300,0
SKU0085,Suturas,2020-03-26,2.2,1.6,217,40,50,2000,1
SKU0086,Suturas,2020-03-27,1.4,1.4,199,27,50,1350,1
SKU0087,Suturas,2020-03-28,1.0,1.0,187,47,50,2350,1
SKU0088,Medicamentos,2020-03-29,1.0,1.0,186,36,80,2880,1
SKU0089,Cosméticos Médicos,2020-03-30,1.0,1.0,207,35,150,5250,1
SKU0090,Cosméticos Médicos,2020-03-31,1.0,1.8,227,39,150,5850,0
SKU0091,Suturas,2020-04-01,1.1,5.0,200,54,50,2700,0
SKU0092,Cosméticos Médicos,2020-04-02,1.1,1.4,222,46,150,6900,0
SKU0093,Cosméticos Médicos,2020-04-03,1.8,1.0,194,47,150,7050,1
SKU0094,Suturas,2020-04-04,1.3,1.0,223,62,50,3100,1
SKU0095,Cosméticos Médicos,2020-04-05,1.7,2.1,181,50,150,7500,0
SKU0096,OPME,2020-04-06,1.0,2.2,223,36,12000,432000,0
SKU0097,Endoscópios,2020-04-07,1.0,1.0,197,57,5000,285000,1
SKU0098,Endoscópios,2020-04-08,1.0,1.0,204,21,5000,105000,1
SKU0099,Suturas,2020-04-09,1.2,1.0,223,39,50,1950,1
SKU0100,Medicamentos,2020-04-10,1.0,1.0,205,57,80,4560,1
SKU0101,Suturas,2020-04-11,2.3,4.5,223,34,50,1700,0
SKU0102,Medicamentos,2020-04-12,3.3,4.7,235,36,80,2880,0
SKU0103,Endoscópios,2020-04-13,2.9,1.0,201,32,5000,160000,1
SKU0104,Suturas,2020-04-14,1.1,3.9,196,43,50,2150,0
SKU0105,OPME,2020-04-15,2.9,2.9,203,38,12000,456000,1
SKU0106,Cosméticos Médicos,2020-04-16,1.2,3.3,200,49,150,7350,0
SKU0107,Medicamentos,2020-04-17,1.0,1.0,205,57,80,4560,1
SKU0108,Cosméticos Médicos,2020-04-18,1.0,1.0,217,50,150,7500,1
SKU0109,Cosméticos Médicos,2020-04-19,1.0,1.0,186,26,150,3900,1
SKU0110,Suturas,2020-04-20,1.0,1.9,212,60,50,3000,0
SKU0111,Cosméticos Médicos,2020-04-21,1.3,4.0,212,32,150,4800,0
SKU0112,OPME,2020-04-22,1.0,1.7,192,24,12000,288000,0
SKU0113,Cosméticos Médicos,2020-04-23,1.0,1.0,187,22,150,3300,1
SKU0114,Suturas,2020-04-24,2.1,1.3,183,38,50,1900,1
SKU0115,OPME,2020-04-25,2.5,3.6,198,24,12000,288000,0
SKU0116,Endoscópios,2020-04-26,2.5,1.3,226,28,5000,140000,1
SKU0117,Cosméticos Médicos,2020-04-27,1.0,1.2,200,32,150,4800,0
SKU0118,Suturas,2020-04-28,1.0,1.0,214,33,50,1650,1
SKU0119,Endoscópios,2020-04-29,2.5,5.1,192,42,5000,210000,0
SKU0120,Endoscópios,2020-04-30,1.0,1.0,188,49,5000,245000,1
SKU0121,Medicamentos,2020-05-01,1.0,1.0,190,47,80,3760,1
SKU0122,OPME,2020-05-02,1.0,1.0,188,28,12000,336000,1
SKU0123,Cosméticos Médicos,2020-05-03,1.0,1.0,217,32,150,4800,1
SKU0124,Suturas,2020-05-04,2.2,3.7,197,57,50,2850,0
SKU0125,Medicamentos,2020-05-05,2.1,2.3,186,18,80,1440,0
SKU0126,OPME,2020-05-06,1.0,1.0,191,52,12000,624000,1
SKU0127,Medicamentos,2020-05-07,1.0,1.0,195,27,80,2160,1
SKU0128,OPME,2020-05-08,1.0,1.0,205,59,12000,708000,1
SKU0129,OPME,2020-05-09,1.3,1.0,227,38,12000,456000,1
SKU0130,Cosméticos Médicos,2020-05-10,1.0,1.0,187,35,150,5250,1
SKU0131,OPME,2020-05-11,1.0,1.0,205,49,12000,588000,1
SKU0132,Medicamentos,2020-05-12,1.0,1.0,196,42,80,3360,1
SKU0133,OPME,2020-05-13,1.6,1.0,208,34,12000,408000,1
SKU0134,Cosméticos Médicos,2020-05-14,1.2,1.0,192,40,150,6000,1
SKU0135,Cosméticos Médicos,2020-05-15,1.0,1.0,197,48,150,7200,1
SKU0136,Medicamentos,2020-05-16,2.8,1.7,231,25,80,2000,1
SKU0137,Endoscópios,2020-05-17,1.0,3.9,192,19,5000,95000,0
SKU0138,Endoscópios,2020-05-18,1.1,1.0,200,38,5000,190000,1
SKU0139,OPME,2020-05-19,1.0,1.0,214,27,12000,324000,1
SKU0140,Suturas,2020-05-20,1.0,1.6,207,48,50,2400,0
SKU0141,OPME,2020-05-21,1.0,1.0,203,28,12000,336000,1
SKU0142,Medicamentos,2020-05-22,1.0,1.0,182,33,80,2640,1
SKU0143,Medicamentos,2020-05-23,3.6,1.8,220,30,80,2400,1
SKU0144,Medicamentos,2020-05-24,1.0,1.1,211,44,80,3520,0
SKU0145,Medicamentos,2020-05-25,1.0,1.3,198,24,80,1920,0
SKU0146,Medicamentos,2020-05-26,3.2,1.0,215,22,80,1760,1
SKU0147,Cosméticos Médicos,2020-05-27,1.0,1.0,202,22,150,3300,1
SKU0148,Endoscópios,2020-05-28,1.0,1.0,201,58,5000,290000,1
SKU0149,Medicamentos,2020-05-29,2.6,1.1,233,29,80,2320,1
SKU0150,Suturas,2020-05-30,1.0,1.4,191,46,50,2300,0
SKU0151,Suturas,2020-05-31,4.1,4.7,216,24,50,1200,0
SKU0152,Suturas,2020-06-01,2.4,6.6,207,25,50,1250,0
SKU0153,Suturas,2020-06-02,1.0,2.7,186,37,50,1850,0
SKU0154,Cosméticos Médicos,2020-06-03,4.2,4.6,171,32,150,4800,0
SKU0155,Suturas,2020-06-04,1.0,2.2,202,58,50,2900,0
SKU0156,Medicamentos,2020-06-05,2.1,3.8,211,60,80,4800,0
SKU0157,OPME,2020-06-06,1.1,1.0,212,54,12000,648000,1
SKU0158,Suturas,2020-06-07,3.4,3.5,186,40,50,2000,0
SKU0159,Cosméticos Médicos,2020-06-08,3.3,3.5,227,43,150,6450,0
SKU0160,Cosméticos Médicos,2020-06-09,1.0,2.3,216,36,150,5400,0
SKU0161,Suturas,2020-06-10,1.0,1.0,197,57,50,2850,1
SKU0162,OPME,2020-06-11,1.4,1.0,184,40,12000,480000,1
SKU0163,Suturas,2020-06-12,1.0,1.0,231,49,50,2450,1
SKU0164,Cosméticos Médicos,2020-06-13,4.0,3.9,189,27,150,4050,1
SKU0165,Endoscópios,2020-06-14,1.3,1.3,226,24,5000,120000,1
SKU0166,Medicamentos,2020-06-15,1.0,3.4,207,59,80,4720,0
SKU0167,Cosméticos Médicos,2020-06-16,1.3,1.0,194,31,150,4650,1
SKU0168,Suturas,2020-06-17,1.0,1.0,163,30,50,1500,1
SKU0169,Medicamentos,2020-06-18,1.0,1.8,215,26,80,2080,0
SKU0170,Suturas,2020-06-19,3.2,7.9,194,51,50,2550,0
SKU0171,Suturas,2020-06-20,1.0,1.0,201,21,50,1050,1
SKU0172,Endoscópios,2020-06-21,1.0,1.0,189,50,5000,250000,1
SKU0173,Medicamentos,2020-06-22,1.8,2.7,189,24,80,1920,0
SKU0174,Medicamentos,2020-06-23,2.8,3.1,190,52,80,4160,0
SKU0175,Endoscópios,2020-06-24,2.2,2.2,200,49,5000,245000,1
SKU0176,Cosméticos Médicos,2020-06-25,2.5,3.1,189,25,150,3750,0
SKU0177,Suturas,2020-06-26,1.0,1.0,194,41,50,2050,1
SKU0178,OPME,2020-06-27,1.0,1.0,202,32,12000,384000,1
SKU0179,Suturas,2020-06-28,3.7,5.3,204,27,50,1350,0
SKU0180,Suturas,2020-06-29,1.0,1.0,195,53,50,2650,1
SKU0181,Cosméticos Médicos,2020-06-30,1.0,3.7,207,37,150,5550,0
SKU0182,Suturas,2020-07-01,3.4,3.7,203,36,50,1800,0
SKU0183,Endoscópios,2020-07-02,1.9,1.5,198,26,5000,130000,1
SKU0184,Endoscópios,2020-07-03,1.8,4.9,190,33,5000,165000,0
SKU0185,Medicamentos,2020-07-04,4.2,3.0,201,55,80,4400,1
SKU0186,OPME,2020-07-05,1.0,1.0,213,36,12000,432000,1
SKU0187,Suturas,2020-07-06,2.8,3.7,206,59,50,2950,0
SKU0188,Suturas,2020-07-07,1.5,3.3,227,65,50,3250,0
SKU0189,Cosméticos Médicos,2020-07-08,1.4,1.7,210,27,150,4050,0
SKU0190,Endoscópios,2020-07-09,3.4,1.8,187,25,5000,125000,1
SKU0191,OPME,2020-07-10,1.5,1.0,219,59,12000,708000,1
SKU0192,Medicamentos,2020-07-11,1.8,1.0,226,40,80,3200,1
SKU0193,Endoscópios,2020-07-12,2.7,2.9,200,20,5000,100000,0
SKU0194,Medicamentos,2020-07-13,1.0,1.1,214,33,80,2640,0
SKU0195,Cosméticos Médicos,2020-07-14,1.0,1.0,221,48,150,7200,1
SKU0196,Cosméticos Médicos,2020-07-15,1.0,1.0,230,59,150,8850,1
SKU0197,Suturas,2020-07-16,1.0,1.0,207,26,50,1300,1
SKU0198,OPME,2020-07-17,3.8,3.0,182,22,12000,264000,1
SKU0199,Medicamentos,2020-07-18,1.0,1.4,183,52,80,4160,0
SKU0200,Endoscópios,2020-07-19,1.0,1.5,194,48,5000,240000,0
SKU0201,Cosméticos Médicos,2020-07-20,1.0,2.2,205,44,150,6600,0
SKU0202,Suturas,2020-07-21,1.9,3.3,200,50,50,2500,0
SKU0203,Suturas,2020-07-22,2.6,5.7,203,37,50,1850,0
SKU0204,Medicamentos,2020-07-23,2.3,3.1,202,50,80,4000,0
SKU0205,Cosméticos Médicos,2020-07-24,1.0,1.0,193,33,150,4950,1
SKU0206,OPME,2020-07-25,1.0,3.7,197,29,12000,348000,0
SKU0207,Cosméticos Médicos,2020-07-26,1.4,2.8,206,50,150,7500,0
SKU0208,Medicamentos,2020-07-27,1.0,1.5,206,37,80,2960,0
SKU0209,Medicamentos,2020-07-28,3.4,1.5,192,56,80,4480,1
SKU0210,Cosméticos Médicos,2020-07-29,1.7,1.0,208,35,150,5250,1
SKU0211,Medicamentos,2020-07-30,2.1,2.5,194,55,80,4400,0
SKU0212,Cosméticos Médicos,2020-07-31,2.0,2.2,216,61,150,9150,0
SKU0213,Endoscópios,2020-08-01,2.9,2.2,188,27,5000,135000,1
SKU0214,Cosméticos Médicos,2020-08-02,1.3,1.5,190,49,150,7350,0
SKU0215,Cosméticos Médicos,2020-08-03,1.0,1.4,219,40,150,6000,0
SKU0216,Medicamentos,2020-08-04,1.6,2.6,209,59,80,4720,0
SKU0217,Medicamentos,2020-08-05,1.0,1.0,196,37,80,2960,1
SKU0218,Suturas,2020-08-06,1.0,1.0,201,50,50,2500,1
SKU0219,Suturas,2020-08-07,2.3,2.0,214,41,50,2050,1
SKU0220,Endoscópios,2020-08-08,3.0,2.7,208,30,5000,150000,1
SKU0221,Suturas,2020-08-09,1.4,1.4,222,31,50,1550,1
SKU0222,Cosméticos Médicos,2020-08-10,1.5,1.0,201,37,150,5550,1
SKU0223,Medicamentos,2020-08-11,3.6,1.7,196,49,80,3920,1
SKU0224,Suturas,2020-08-12,1.8,2.3,174,38,50,1900,0
SKU0225,Suturas,2020-08-13,5.3,6.6,193,45,50,2250,0
SKU0226,Endoscópios,2020-08-14,1.9,1.0,191,29,5000,145000,1
SKU0227,Endoscópios,2020-08-15,1.0,1.4,207,40,5000,200000,0
SKU0228,Cosméticos Médicos,2020-08-16,2.1,3.8,199,21,150,3150,0
SKU0229,Medicamentos,2020-08-17,1.6,1.0,218,57,80,4560,1
SKU0230,Endoscópios,2020-08-18,3.0,3.4,207,61,5000,305000,0
SKU0231,Suturas,2020-08-19,2.4,1.6,230,41,50,2050,1
SKU0232,Medicamentos,2020-08-20,1.0,3.3,212,21,80,1680,0
SKU0233,Medicamentos,2020-08-21,1.0,2.0,227,30,80,2400,0
SKU0234,Suturas,2020-08-22,1.1,1.8,211,48,50,2400,0
SKU0235,Endoscópios,2020-08-23,1.0,1.3,198,44,5000,220000,0
SKU0236,Suturas,2020-08-24,1.0,1.0,212,54,50,2700,1
SKU0237,Medicamentos,2020-08-25,1.9,1.0,190,28,80,2240,1
SKU0238,OPME,2020-08-26,3.2,1.6,201,50,12000,600000,1
SKU0239,OPME,2020-08-27,1.3,1.1,192,45,12000,540000,1
SKU0240,Cosméticos Médicos,2020-08-28,1.0,1.0,210,34,150,5100,1
SKU0241,Suturas,2020-08-29,2.1,2.6,205,42,50,2100,0
SKU0242,Suturas,2020-08-30,3.2,4.3,209,27,50,1350,0
SKU0243,Cosméticos Médicos,2020-08-31,1.0,1.0,218,41,150,6150,1
SKU0244,Cosméticos Médicos,2020-09-01,1.0,1.0,190,52,150,7800,1
SKU0245,Cosméticos Médicos,2020-09-02,1.0,1.0,199,36,150,5400,1
SKU0246,Medicamentos,2020-09-03,1.0,1.0,195,52,80,4160,1
SKU0247,Suturas,2020-09-04,2.4,1.4,178,38,50,1900,1
SKU0248,Medicamentos,2020-09-05,1.0,2.3,187,25,80,2000,0
SKU0249,Cosméticos Médicos,2020-09-06,1.6,1.0,188,40,150,6000,1
SKU0250,Suturas,2020-09-07,1.0,1.8,212,42,50,2100,0
SKU0251,Medicamentos,2020-09-08,1.0,2.4,188,33,80,2640,0
SKU0252,Medicamentos,2020-09-09,2.1,1.6,204,25,80,2000,1
SKU0253,Cosméticos Médicos,2020-09-10,1.0,1.0,200,36,150,5400,1
SKU0254,Suturas,2020-09-11,4.0,5.0,202,23,50,1150,0
SKU0255,Cosméticos Médicos,2020-09-12,1.0,1.0,200,23,150,3450,1
SKU0256,Suturas,2020-09-13,1.7,1.0,214,39,50,1950,1
SKU0257,OPME,2020-09-14,2.1,1.0,182,29,12000,348000,1
SKU0258,Endoscópios,2020-09-15,1.0,1.2,195,55,5000,275000,0
SKU0259,Endoscópios,2020-09-16,1.0,1.0,201,35,5000,175000,1
SKU0260,Endoscópios,2020-09-17,1.0,1.0,227,57,5000,285000,1
SKU0261,Cosméticos Médicos,2020-09-18,2.9,1.0,189,38,150,5700,1
SKU0262,OPME,2020-09-19,1.0,1.0,195,46,12000,552000,1
SKU0263,Suturas,2020-09-20,5.2,7.0,198,30,50,1500,0
SKU0264,Medicamentos,2020-09-21,1.0,1.0,190,54,80,4320,1
SKU0265,Suturas,2020-09-22,1.7,1.5,183,37,50,1850,1
SKU0266,Medicamentos,2020-09-23,3.3,4.1,203,54,80,4320,0
SKU0267,Suturas,2020-09-24,4.4,9.1,230,39,50,1950,0
SKU0268,OPME,2020-09-25,3.8,3.9,182,21,12000,252000,0
SKU0269,Medicamentos,2020-09-26,2.8,2.7,217,50,80,4000,1
SKU0270,Cosméticos Médicos,2020-09-27,2.5,2.3,231,23,150,3450,1
SKU0271,Suturas,2020-09-28,2.3,2.7,166,32,50,1600,0
SKU0272,Suturas,2020-09-29,2.6,5.4,193,26,50,1300,0
SKU0273,Medicamentos,2020-09-30,1.0,1.0,205,46,80,3680,1
SKU0274,Cosméticos Médicos,2020-10-01,1.0,1.0,207,61,150,9150,1
SKU0275,Cosméticos Médicos,2020-10-02,1.0,1.1,181,34,150,5100,0
SKU0276,OPME,2020-10-03,1.0,1.0,191,50,12000,600000,1
SKU0277,Cosméticos Médicos,2020-10-04,1.0,1.0,207,41,150,6150,1
SKU0278,Cosméticos Médicos,2020-10-05,2.0,2.5,184,36,150,5400,0
SKU0279,Cosméticos Médicos,2020-10-06,2.4,2.3,190,54,150,8100,1
SKU0280,Endoscópios,2020-10-07,1.2,2.1,192,53,5000,265000,0
SKU0281,OPME,2020-10-08,2.9,1.2,168,43,12000,516000,1
SKU0282,Suturas,2020-10-09,1.0,1.4,209,33,50,1650,0
SKU0283,Medicamentos,2020-10-10,1.0,1.0,189,39,80,3120,1
SKU0284,Suturas,2020-10-11,1.0,3.0,207,29,50,1450,0
SKU0285,OPME,2020-10-12,1.0,1.0,214,40,12000,480000,1
SKU0286,Medicamentos,2020-10-13,1.0,1.5,186,36,80,2880,0
SKU0287,OPME,2020-10-14,1.0,1.1,199,52,12000,624000,0
SKU0288,Cosméticos Médicos,2020-10-15,3.3,2.1,206,57,150,8550,1
SKU0289,Medicamentos,2020-10-16,1.9,2.6,197,36,80,2880,0
SKU0290,Cosméticos Médicos,2020-10-17,1.0,1.4,192,19,150,2850,0
SKU0291,Suturas,2020-10-18,4.2,2.5,211,57,50,2850,1
SKU0292,Suturas,2020-10-19,3.2,5.3,203,27,50,1350,0
SKU0293,Medicamentos,2020-10-20,1.9,1.0,182,40,80,3200,1
SKU0294,Medicamentos,2020-10-21,1.0,1.0,187,19,80,1520,1
SKU0295,OPME,2020-10-22,1.0,1.9,202,36,12000,432000,0
SKU0296,OPME,2020-10-23,1.0,1.0,209,62,12000,744000,1
SKU0297,Cosméticos Médicos,2020-10-24,2.6,1.0,179,21,150,3150,1
SKU0298,Medicamentos,2020-10-25,3.8,3.5,184,33,80,2640,1
SKU0299,Suturas,2020-10-26,3.7,8.3,194,31,50,1550,0
SKU0300,OPME,2020-10-27,1.0,1.0,181,50,12000,600000,1
SKU0301,OPME,2020-10-28,1.0,1.0,190,52,12000,624000,1
SKU0302,Suturas,2020-10-29,1.6,4.5,216,31,50,1550,0
SKU0303,OPME,2020-10-30,1.0,1.4,213,24,12000,288000,0
SKU0304,Cosméticos Médicos,2020-10-31,1.5,1.3,192,43,150,6450,1
SKU0305,Medicamentos,2020-11-01,1.0,1.0,198,33,80,2640,1
SKU0306,Suturas,2020-11-02,1.0,4.1,189,44,50,2200,0
SKU0307,Medicamentos,2020-11-03,1.0,1.0,199,21,80,1680,1
SKU0308,OPME,2020-11-04,1.5,2.0,173,21,12000,252000,0
SKU0309,OPME,2020-11-05,1.0,1.0,187,44,12000,528000,1
SKU0310,Suturas,2020-11-06,1.0,1.0,186,26,50,1300,1
SKU0311,Cosméticos Médicos,2020-11-07,1.0,1.0,187,50,150,7500,1
SKU0312,Endoscópios,2020-11-08,1.1,1.7,229,25,5000,125000,0
SKU0313,Suturas,2020-11-09,4.1,7.9,194,27,50,1350,0
SKU0314,Endoscópios,2020-11-10,3.6,5.3,168,50,5000,250000,0
SKU0315,Endoscópios,2020-11-11,1.0,1.0,206,38,5000,190000,1
SKU0316,Cosméticos Médicos,2020-11-12,1.0,2.2,230,55,150,8250,0
SKU0317,Endoscópios,2020-11-13,1.8,2.5,208,28,5000,140000,0
SKU0318,Endoscópios,2020-11-14,1.0,1.0,200,44,5000,220000,1
SKU0319,Cosméticos Médicos,2020-11-15,1.5,3.7,198,48,150,7200,0
SKU0320,Endoscópios,2020-11-16,2.2,1.0,193,31,5000,155000,1
SKU0321,Endoscópios,2020-11-17,2.9,3.2,200,53,5000,265000,0
SKU0322,Endoscópios,2020-11-18,1.0,1.0,184,40,5000,200000,1
SKU0323,Suturas,2020-11-19,1.1,1.0,186,33,50,1650,1
SKU0324,Suturas,2020-11-20,1.0,1.0,209,44,50,2200,1
SKU0325,Suturas,2020-11-21,1.0,4.0,202,43,50,2150,0
SKU0326,Cosméticos Médicos,2020-11-22,1.0,1.0,199,26,150,3900,1
SKU0327,OPME,2020-11-23,1.3,1.0,200,36,12000,432000,1
SKU0328,Endoscópios,2020-11-24,2.5,3.7,186,31,5000,155000,0
SKU0329,Endoscópios,2020-11-25,1.0,1.0,207,37,5000,185000,1
SKU0330,Cosméticos Médicos,2020-11-26,3.2,3.1,178,44,150,6600,1
SKU0331,Endoscópios,2020-11-27,1.0,1.0,181,35,5000,175000,1
SKU0332,Suturas,2020-11-28,1.4,2.3,201,57,50,2850,0
SKU0333,OPME,2020-11-29,1.0,1.0,204,32,12000,384000,1
SKU0334,Medicamentos,2020-11-30,1.0,1.0,197,36,80,2880,1
SKU0335,Endoscópios,2020-12-01,2.4,4.5,208,53,5000,265000,0
SKU0336,Suturas,2020-12-02,2.5,4.9,191,39,50,1950,0
SKU0337,Medicamentos,2020-12-03,1.0,1.0,206,43,80,3440,1
SKU0338,OPME,2020-12-04,1.0,1.0,214,23,12000,276000,1
SKU0339,Medicamentos,2020-12-05,1.8,3.4,190,34,80,2720,0
SKU0340,Suturas,2020-12-06,1.0,1.0,184,28,50,1400,1
SKU0341,Medicamentos,2020-12-07,1.0,1.6,208,62,80,4960,0
SKU0342,Cosméticos Médicos,2020-12-08,2.2,1.7,173,27,150,4050,1
SKU0343,Medicamentos,2020-12-09,1.0,1.1,203,56,80,4480,0
SKU0344,Endoscópios,2020-12-10,1.5,2.2,194,45,5000,225000,0
SKU0345,Endoscópios,2020-12-11,1.0,1.0,185,31,5000,155000,1
SKU0346,Cosméticos Médicos,2020-12-12,1.7,1.0,197,41,150,6150,1
SKU0347,Suturas,2020-12-13,1.3,2.3,189,50,50,2500,0
SKU0348,Endoscópios,2020-12-14,1.0,1.0,199,55,5000,275000,1
SKU0349,OPME,2020-12-15,2.4,1.0,192,25,12000,300000,1
SKU0350,Endoscópios,2020-12-16,1.0,1.0,177,29,5000,145000,1
SKU0351,Endoscópios,2020-12-17,1.0,1.0,186,31,5000,155000,1
SKU0352,Suturas,2020-12-18,1.7,5.6,195,21,50,1050,0
SKU0353,Medicamentos,2020-12-19,2.7,4.7,199,43,80,3440,0
